text,label
"This movie was absolutely amazing! The acting and storyline were perfect.",positive
"I really didn't enjoy this product, waste of money.",negative
"The service was okay, nothing special but not bad either.",neutral
"Terrible experience, would not recommend to anyone.",negative
"The new features are fantastic and really improve usability!",positive
"Not sure how I feel about the changes, some good some bad.",neutral
"Best purchase I've made this year, totally worth it!",positive
"Mediocre performance, meets basic requirements.",neutral
"Complete disaster, poor quality and horrible customer service.",negative
"Love it! Can't imagine using anything else now.",positive
